Dealer Code,Name,City,State,Latitude,Longitude,Diesel Price
225042,A.Q. & SONS FUEL POINT,MORADABAD,Uttar Pradesh,29.0554459,78.7518716,88.39
225043,YUSUF ALI AND SONS,RAICHUR,Karnataka,16.116624,77.292528,92.36
225047,SHIVASHAKTI PETROLEUM,HAVERI,Karnataka,14.813608,75.381915,91.49
225087,AR FILLING STATION,PANIPAT,Haryana,29.395775,76.765766,87.35
225088,RAMLAKHAN AND SONS FUELS,KUSHINAGAR,Uttar Pradesh,26.9948,83.764539,87.92
225090,SHABAD FUELS,GEBIPUR,Haryana,29.419557,75.923584,88.3
225092,MLN FILLING STATION,GOHANA,Haryana,29.178702,76.671305,87.78
225102,BP-BHALGAON,ERANDOL,Maharashtra,20.908498,75.285233,90.73
225106,SHREE SHIVASHAKTI FILLING STATION,YADGIR,Karnataka,16.45799,76.50904,91.84
225107,SRI SAI PETRO PLAZA GOLLETI,KUMURAM BHEEM,Telangana,19.230808,79.392276,97.05
225108,DURGA FILLING STATION,RAJANNA SIRCILLA,Telangana,18.402285,78.826074,96.23
225132,MAHAVEER PETROLEUM,KANEK,Gujarat,21.039515,70.252223,91.53
225137,SRI RAJARAJESHWARA FILLING STATION,KARIMNAGAR,Telangana,18.466855,79.110872,95.78
225138,RAM KRISHNA FILLING STATION,LUCKNOW,Uttar Pradesh,26.952452,80.99327,87.79
225144,PROTIBHA FUEL STATION,RAIGANJ,West Bengal,25.563623,88.175285,92.23
225154,D.P.VELAUDHAM & SON,KRISHNAGIRI,Tamil Nadu,12.607803,78.099501,94.39
225157,S D YALAGUDRI PETROLEUMS,BIJAPUR,Karnataka,16.859632,75.684962,90.83
225167,ASSOCIATED PETROLEUM,SAMARKHA,Gujarat,22.612492,73.00273,89.91
225176,GIRIRAJ PETROLEUM,MOTALI,Gujarat,21.646701,73.040205,90.66
225207,RADHEY PETROLEUM,AHMEDABAD,Gujarat,23.0867599,72.4838708,90.19
225263,SRI SRINIVASA FILLING STATION,CHERIAL,Telangana,17.907149,78.987403,96.01
225273,MAA GANGEY REET RAM FILLING STATION,KHAMARIYA,Uttar Pradesh,27.874819,79.521901,87.87
